,Location,coordinates
381,1534 10th Ave San Francisco,"(37.75959435, -122.466813796958)"
382,1449 8th Ave San Francisco,"(37.7612681, -122.4652679)"
383,1323 16th Ave San Francisco,"(37.7632209795918, -122.473983306122)"
384,1278 25th Ave San Francisco,"(37.7637325102041, -122.483481653061)"
385,1249 16th Ave San Francisco,"(37.7646378163265, -122.474081632653)"
386,2236 Irving St San Francisco,"(37.76354685, -122.482136659175)"
387,1906 Irving St San Francisco,"(37.7635879183673, -122.478398836735)"
388,1281 24th Ave San Francisco,"(37.7637383265306, -122.482615938776)"
389,125 Clayton St San Francisco,"(37.7741557755102, -122.44956022449)"
390,1040 Bush St San Francisco,"(37.789535181593, -122.414335959809)"
